Candidate;List;District;Twitter
KARLA ANDREA PINTO TIMMERMANN;INDEPENDIENTES COMO TU;10;https://twitter.com/karlapintod10 
SUNG YOUNG YUN;INDEPENDIENTES COMO TU;10;https://twitter.com/SungYoung_Yun 
PATRICIA FARIDEZ RUBILAR SEVERO;INDEPENDIENTES COMO TU;10;https://twitter.com/RubilarSevero 
PATRICIO DOMINGO GONZALEZ OJEDA;INDEPENDIENTES COMO TU;10;
MARIA SOLEDAD ACUÑA DIAZ;INDEPENDIENTES COMO TU;10;https://twitter.com/SoleAcunha 
FELIPE CRISTHIAN VARGAS PUGA;INDEPENDIENTES COMO TU;10;https://twitter.com/23newton 
PAOLA ANDREA WALKER RODRIGUEZ;INDEPENDIENTES COMO TU;10;https://twitter.com/D10Walker 
MARIA ELENA GUAJARDO MORAGA;PARTIDO ECOLOGISTA VERDE;10;https://twitter.com/MaraElenaGuaja1 
GREGORIO CORREA SALINAS;PARTIDO ECOLOGISTA VERDE;10;
ANGELICA YEVENES ARANDA;PARTIDO ECOLOGISTA VERDE;10;
PHELIPPE ROMERO MUZZ;PARTIDO ECOLOGISTA VERDE;10;
CONSUELO CONEJAN BRITO;PARTIDO ECOLOGISTA VERDE;10;
CLAUDIO ROSELLO ARRIARAN;PARTIDO ECOLOGISTA VERDE;10;
SYLVIA EYZAGUIRRE TAFRA;VAMOS POR CHILE;10;https://twitter.com/SylviaEyzaguirr 
CRISTIAN MONCKEBERG BRUNER;VAMOS POR CHILE;10;https://twitter.com/cmonckeberg 
TERESA MARGARITA MARINOVIC VIAL;VAMOS POR CHILE;10;https://twitter.com/tere_marinovic 
DIEGO RIVEAUX MARCET;VAMOS POR CHILE;10;https://twitter.com/Ribolt 
MARIA MACARENA LETELIER VELASCO;VAMOS POR CHILE;10;https://twitter.com/macaletelierv 
JAIME FLORES SIERRALTA;VAMOS POR CHILE;10;https://twitter.com/jaimeflores_s 
PAULINA ANDREA LOBOS HERRERA;VAMOS POR CHILE;10;https://twitter.com/PaulinaLobosH 
GONZALO FERNANDO BLUMEL MAC-IVER;VAMOS POR CHILE;10;
LAURA ALBORNOZ POLLMANN;LISTA DEL APRUEBO;10;https://twitter.com/lauralbornoz 
JORGE BARADIT MORALES;LISTA DEL APRUEBO;10;https://twitter.com/baradit 
CATALINA LAGOS TSCHORNE;LISTA DEL APRUEBO;10;https://twitter.com/catala_style
DARWIN LORETO JOHNS;LISTA DEL APRUEBO;10;https://twitter.com/dloretojohns
LUCIA LOPEZ GUERRA;LISTA DEL APRUEBO;10;https://twitter.com/lucialopezchile
JAIME PARADA HOYL;LISTA DEL APRUEBO;10;https://twitter.com/JParadaHoyl
CAROLINA VANESSA PARRAGUEZ PIÑA;LISTA DEL APRUEBO;10;https://twitter.com/carolina_d10
PATRICIO ZAPATA LARRAIN;LISTA DEL APRUEBO;10;https://twitter.com/patriciozapatal
ALEJANDRA DEL PILAR JIMENEZ CASTRO;APRUEBO DIGNIDAD;10;https://twitter.com/alejimenezcons1
FERNANDO ATRIA LEMAITRE;APRUEBO DIGNIDAD;10;https://twitter.com/fernando_atria
GIOVANNA ANGELA ROA CADIN;APRUEBO DIGNIDAD;10;https://twitter.com/giovannaroa
PABLO GABRIEL SELLES FERRES;APRUEBO DIGNIDAD;10;https://twitter.com/pgselles
ANTONIA COSMICA ORELLANA GUARELLO;APRUEBO DIGNIDAD;10;https://twitter.com/totiorellanag
RAFAEL HUMBERTO HARVEY VALDES;APRUEBO DIGNIDAD;10;https://twitter.com/RafaelHarvey3
EMILIA SCHNEIDER VIDELA;APRUEBO DIGNIDAD;10;https://twitter.com/emischneiderv
CARLOS EDUARDO RUIZ ENCINA;APRUEBO DIGNIDAD;10;https://twitter.com/carlosruize
SOFIA ANNEKE LARA GARRIDO;UNION PATRIOTICA;10;
JUAN PABLO MIGUEL SOTO VALDIVIA;UNION PATRIOTICA;10;https://twitter.com/jpconstituyente
VALENTINA VARGAS LOWICK-RUSSELL;UNION PATRIOTICA;10;
HECTOR LEONARDO ARAVENA PEREZ;UNION PATRIOTICA;10;https://twitter.com/HectorAravena7
NICOLL ADRIANA ROJAS LABRA;UNION PATRIOTICA;10;https://twitter.com/nicollrojasb54
JOSUE ALBERT ORMAZABAL MORALES;UNION PATRIOTICA;10;https://twitter.com/j_ormazabalm
CARMEN VERONICA CONTRERAS AROS;UNION PATRIOTICA;10;https://twitter.com/carmenconsejal
JOSE ALBARO MORALES MORALES;UNION PATRIOTICA;10;
KARINA NATASHA NOHALES PEÑA;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/karinanohales
LUIS FERNANDO MESINA MARIN;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/LuisMesina1
ANDREA GUTIERREZ VASQUEZ;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/AGutierrezVD10
MANUEL JESUS HIDALGO VALDIVIA;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/ManuelHidalgoV_
PIA FERNANDA MEZA ILABACA;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/territoriocons
PABLO SALVADOR LUIS SEPULVEDA ALLENDE;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/sepulvedallende
FRANCISCA FERNANDEZ DROGUETT ;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/FranFDroguett
JAVIER NICOLAS PINEDA OLCAY ;MOVIMIENTOS SOCIALES : UNIDAD DE INDEPENDIENTES;10;https://twitter.com/javierpineda
JUANA VERONICA MILLAL SANDOVAL;LA LISTA DEL PUEBLO;10;https://twitter.com/JuanaMillal
MANUEL MAURICIO WOLDARSKY GONZALEZ;LA LISTA DEL PUEBLO;10;https://twitter.com/manuconstituye
PATRICIA STEFANIA NAVARRETE CORTES;LA LISTA DEL PUEBLO;10;https://twitter.com/D10Patricia
ANDRES MATIAS SALDIAS SALGADO;LA LISTA DEL PUEBLO;10;https://twitter.com/harryandres303
PAULINA ALEJANDRA ACEVEDO MENANTEAU;LA LISTA DEL PUEBLO;10;
ALEXIS CRISTOPHER GARRIDO NUÑEZ;LA LISTA DEL PUEBLO;10;
NADYA CAROLA TORRES VELASQUEZ;LA LISTA DEL PUEBLO;10;
DANIEL ISAIAS MARTINEZ BARRERA;LA LISTA DEL PUEBLO;10;
SUELY CILEIDI ARANCIBIA BENICIO;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;https://twitter.com/suelyarancibia
DAUNO TOTORO NAVARRO;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;https://twitter.com/daunototoro
CAROLINA FERNANDA TOLEDO SARMIENTO;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;https://twitter.com/carolinatoledos
JOSE JOAQUIN ROMERO PALACIOS;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;
RAFAELLA ANTONIA RUILOVA TASSARA;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;
JULIO HUMBERTO MANCILLA MARABOLI;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;
MARIA VICTORIA TORRES SANDOVAL;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;
JAVIER IGNACIO AYARZA GONZALEZ;PARTIDO DE TRABAJADORES REVOLUCIONARIOS;10;
PATRICIA POLITZER KEREKES;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;https://twitter.com/patriciapolitz
JOSE ANDRES MURILLO URRUTIA;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;https://twitter.com/JosAndrsMurillo
ROXANA ESPINOZA SALFATE;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;
GABRIEL GUROVICH STEINER;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;https://twitter.com/guro_ringale
MACARENA LOBOS PALACIOS;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;https://twitter.com/mlobospalacios
PABLO MORRIS KELLER;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;https://twitter.com/pamoke74
CAROLINA ARENAS ORTIZ;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;https://twitter.com/Carolin95063565
ANDRES PEREZ MUÑOZ;INDEPENDIENTES POR LA NUEVA CONSTITUCION;10;
CAMILO PARADA ORTIZ;CANDIDATURA INDEPENDIENTE;10;https://twitter.com/camiloparada